,Elastic Modulus.a,Elastic Modulus.b,Elastic Modulus.c,Elastic Modulus.d,Elongation.a,Elongation.b,Elongation.c,Elongation.d,Maximum ∂2σ/∂ε2.a,Maximum ∂2σ/∂ε2.b,Maximum ∂2σ/∂ε2.c,Maximum ∂2σ/∂ε2.d,Measured Composition (%).Al,Measured Composition (%).Co,Measured Composition (%).Cr,Measured Composition (%).Cu,Measured Composition (%).Fe,Measured Composition (%).Mn,Measured Composition (%).Ni,Measured Composition (%).V,Target Composition (%).Al,Target Composition (%).Co,Target Composition (%).Cr,Target Composition (%).Cu,Target Composition (%).Fe,Target Composition (%).Mn,Target Composition (%).Ni,Target Composition (%).V,UTS/YS Ratio.a,UTS/YS Ratio.b,UTS/YS Ratio.c,UTS/YS Ratio.d,Ultimate Tensile Strength.a,Ultimate Tensile Strength.b,Ultimate Tensile Strength.c,Ultimate Tensile Strength.d,XRD.Lattice Parameters,XRD.Phase,Yield Strength.a,Yield Strength.b,Yield Strength.c,Yield Strength.d,Total
AAA,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0
AAB,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0
AAC,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,32.0
AAD,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,16.0
AAE,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,8.0
BAA,0.0,0.0,15.0,,0.0,0.0,15.0,,0.0,0.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,0.0,0.0,15.0,,0.0,0.0,0.0,0.0,15.0,,91.0
BBA,1.0,3.0,14.0,,1.0,3.0,14.0,,1.0,3.0,14.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,14.0,,1.0,3.0,14.0,,1.0,1.0,1.0,3.0,14.0,,118.0
BBB,7.0,6.0,11.0,,7.0,6.0,11.0,,9.0,6.0,11.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,11.0,,7.0,6.0,11.0,,6.0,6.0,7.0,6.0,11.0,,206.0
BBC,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,6.0,6.0,,,,,60.0
CBA,,1.0,1.0,14.0,,1.0,1.0,14.0,,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,1.0,14.0,,1.0,1.0,14.0,1.0,1.0,,1.0,1.0,14.0,98.0
Total,8.0,10.0,41.0,14.0,8.0,10.0,41.0,14.0,10.0,10.0,42.0,14.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,41.0,14.0,8.0,10.0,41.0,14.0,14.0,14.0,8.0,10.0,41.0,14.0,629.0
